Role,Dashboard,Section,Link Text,Target Endpoint,HTTP Method,Element Type,Current Status,Response Code,Response Time (ms),Error Description,Timestamp,Expected Behavior,Proposed Fix,Effort (hours),Priority,Assigned To,Fixed Date
admin,/checklists/,Unknown,"Logout",http://localhost:3000/logout-page,GET,a,Working,200,94,"N/A",2025-06-18T15:16:58.559Z,,,,,,
admin,/checklists/,Quick Actions,"Start New Checklist",http://localhost:3000/app/index.html,GET,a,Working,200,177,"N/A",2025-06-18T15:17:00.757Z,,,,,,
admin,/checklists/,Quick Actions,"Refresh Dashboard",http://localhost:3000/checklists/#,GET,a,Working,200,44,"N/A",2025-06-18T15:17:02.819Z,,,,,,
admin,/checklists/,Quick Actions,"Change Password",http://localhost:3000/forgot-password,GET,a,Broken,200,34,"HTTP 200 or error content detected",2025-06-18T15:17:04.865Z,,,,,,
admin,/checklists/,Compliance Panel,"Compliance Dashboard",http://localhost:3000/compliance,GET,a,Working,200,41,"N/A",2025-06-18T15:17:06.925Z,,,,,,
admin,/checklists/,Compliance Panel,"Compliance Metrics",http://localhost:3000/compliance/metrics,GET,a,Working,200,31,"N/A",2025-06-18T15:17:08.969Z,,,,,,
admin,/checklists/,Compliance Panel,"Audit Trail",http://localhost:3000/compliance/audit,GET,a,Working,200,29,"N/A",2025-06-18T15:17:11.017Z,,,,,,
admin,/checklists/,Compliance Panel,"Non-Compliance Reports",http://localhost:3000/compliance/non-compliance,GET,a,Working,200,32,"N/A",2025-06-18T15:17:13.055Z,,,,,,
admin,/checklists/,Manager Panel,"Manager Dashboard",http://localhost:3000/manager,GET,a,Working,200,33,"N/A",2025-06-18T15:17:15.105Z,,,,,,
admin,/checklists/,Manager Panel,"Team Management",http://localhost:3000/manager/teams,GET,a,Working,200,30,"N/A",2025-06-18T15:17:17.151Z,,,,,,
admin,/checklists/,Manager Panel,"Performance Analytics",http://localhost:3000/manager/performance,GET,a,Working,200,29,"N/A",2025-06-18T15:17:19.201Z,,,,,,
admin,/checklists/,Manager Panel,"Manual Assignments",http://localhost:3000/manager/assignments,GET,a,Working,200,28,"N/A",2025-06-18T15:17:21.252Z,,,,,,
admin,/checklists/,Admin Panel,"Admin Dashboard",http://localhost:3000/admin,GET,a,Working,200,29,"N/A",2025-06-18T15:17:23.301Z,,,,,,
admin,/checklists/,Admin Panel,"PostgreSQL Dashboard",http://localhost:3000/admin/postgresql,GET,a,Working,200,30,"N/A",2025-06-18T15:17:25.345Z,,,,,,
admin,/checklists/,Admin Panel,"Automation Rules",http://localhost:3000/admin/automation-rules,GET,a,Working,200,28,"N/A",2025-06-18T15:17:27.397Z,,,,,,
admin,/checklists/,Admin Panel,"Create User",http://localhost:3000/admin/users/new,GET,a,Working,200,30,"N/A",2025-06-18T15:17:29.439Z,,,,,,
admin,/admin,Unknown,"Form: Submit",http://localhost:3000/login-page,POST,form,Working,200,22,"N/A",2025-06-18T15:17:32.135Z,,,,,,
admin,/admin,Unknown,"Forgot/Reset your password?",http://localhost:3000/forgot-password,GET,a,Broken,200,23,"HTTP 200 or error content detected",2025-06-18T15:17:34.168Z,,,,,,
admin,/admin/postgresql,Unknown,"Form: Submit",http://localhost:3000/login-page,POST,form,Working,200,22,"N/A",2025-06-18T15:17:37.383Z,,,,,,
admin,/admin/postgresql,Unknown,"Forgot/Reset your password?",http://localhost:3000/forgot-password,GET,a,Broken,200,28,"HTTP 200 or error content detected",2025-06-18T15:17:39.431Z,,,,,,
admin,/admin/automation-rules,Unknown,"Form: Submit",http://localhost:3000/login-page,POST,form,Working,200,24,"N/A",2025-06-18T15:17:42.392Z,,,,,,
admin,/admin/automation-rules,Unknown,"Forgot/Reset your password?",http://localhost:3000/forgot-password,GET,a,Broken,200,28,"HTTP 200 or error content detected",2025-06-18T15:17:44.426Z,,,,,,
admin,/admin/users/new,Unknown,"Form: Submit",http://localhost:3000/login-page,POST,form,Working,200,27,"N/A",2025-06-18T15:17:47.021Z,,,,,,
admin,/admin/users/new,Unknown,"Forgot/Reset your password?",http://localhost:3000/forgot-password,GET,a,Broken,200,24,"HTTP 200 or error content detected",2025-06-18T15:17:49.055Z,,,,,,
manager,/checklists/,Unknown,"Logout",http://localhost:3000/logout-page,GET,a,Working,200,49,"N/A",2025-06-18T15:17:54.516Z,,,,,,
manager,/checklists/,Quick Actions,"Start New Checklist",http://localhost:3000/app/index.html,GET,a,Working,200,171,"N/A",2025-06-18T15:17:56.700Z,,,,,,
manager,/checklists/,Quick Actions,"Refresh Dashboard",http://localhost:3000/checklists/#,GET,a,Working,200,47,"N/A",2025-06-18T15:17:58.770Z,,,,,,
manager,/checklists/,Quick Actions,"Change Password",http://localhost:3000/forgot-password,GET,a,Broken,200,24,"HTTP 200 or error content detected",2025-06-18T15:18:00.813Z,,,,,,
manager,/checklists/,Compliance Panel,"Compliance Dashboard",http://localhost:3000/compliance,GET,a,Working,200,32,"N/A",2025-06-18T15:18:02.853Z,,,,,,
manager,/checklists/,Compliance Panel,"Compliance Metrics",http://localhost:3000/compliance/metrics,GET,a,Broken,429,21,"HTTP 429 or error content detected",2025-06-18T15:18:04.897Z,,,,,,
manager,/checklists/,Compliance Panel,"Audit Trail",http://localhost:3000/compliance/audit,GET,a,Broken,429,19,"HTTP 429 or error content detected",2025-06-18T15:18:06.934Z,,,,,,
manager,/checklists/,Compliance Panel,"Non-Compliance Reports",http://localhost:3000/compliance/non-compliance,GET,a,Broken,429,17,"HTTP 429 or error content detected",2025-06-18T15:18:08.970Z,,,,,,
manager,/checklists/,Manager Panel,"Manager Dashboard",http://localhost:3000/manager,GET,a,Broken,429,15,"HTTP 429 or error content detected",2025-06-18T15:18:10.991Z,,,,,,
manager,/checklists/,Manager Panel,"Team Management",http://localhost:3000/manager/teams,GET,a,Broken,429,14,"HTTP 429 or error content detected",2025-06-18T15:18:13.013Z,,,,,,
manager,/checklists/,Manager Panel,"Performance Analytics",http://localhost:3000/manager/performance,GET,a,Broken,429,14,"HTTP 429 or error content detected",2025-06-18T15:18:15.030Z,,,,,,
manager,/checklists/,Manager Panel,"Manual Assignments",http://localhost:3000/manager/assignments,GET,a,Broken,429,15,"HTTP 429 or error content detected",2025-06-18T15:18:17.061Z,,,,,,
